z,n,t/s,A
0,1,0.0,99.27272487809194
,,96.93157894736841,87.44380671209721
,,193.86315789473682,80.27376314902435
,,290.79473684210524,72.10087381158706
,,387.72631578947363,64.04154828150271
,,484.657894736842,58.07549567881813
,,581.5894736842105,50.96864900149526
,,678.5210526315789,45.89718091883517
,,775.4526315789473,41.530105198095065
,,872.3842105263157,36.79846978119032
,,969.315789473684,34.57911361405388
,,1066.2473684210524,30.940792055982516
,,1163.178947368421,28.285559661904127
,,1260.1105263157892,25.1932846575048
,,1357.0421052631577,22.14279268328136
,,1453.973684210526,19.262481425087117
,,1550.9052631578945,18.733180322336068
,,1647.836842105263,13.748888050121465
,,1744.7684210526313,15.710590450380309
,,1841.6999999999998,12.245234934083333
0,4,0.0,100.79027301265323
,,2.7706743830246055e-23,90.3590700838583
,,5.541348766049211e-23,80.61589663735366
,,8.312023149073816e-23,72.42231224945913
,,1.1082697532098422e-22,64.52890288319576
,,1.3853371915123029e-22,55.029047683518414
,,1.6624046298147633e-22,52.81179179436054
,,1.9394720681172237e-22,45.420958341167854
,,2.2165395064196844e-22,40.48716610749061
,,2.493606944722145e-22,37.90002978987173
,,2.7706743830246057e-22,30.759820309263905
,,3.047741821327066e-22,29.524514040199204
,,3.3248092596295266e-22,27.573363456890853
,,3.6018766979319872e-22,23.013379278421432
,,3.8789441362344474e-22,23.451154542516864
,,4.156011574536908e-22,19.818407216021647
,,4.433079012839369e-22,17.843896758192678
,,4.710146451141829e-22,15.853200526947845
,,4.98721388944429e-22,12.859899333574436
,,5.26428132774675e-22,13.435316706148813
1,0,0.0,98.77670356350934
,,52631.57894736842,101.12193622711555
,,105263.15789473684,98.32799479383387
,,157894.73684210525,98.96195610003099
,,210526.31578947368,100.38468065006423
,,263157.8947368421,100.96253277883869
,,315789.4736842105,98.7822876940209
,,368421.05263157893,100.53510089680896
,,421052.63157894736,98.47429714161837
,,473684.2105263158,102.40890397009233
,,526315.7894736842,100.90395349825366
,,578947.3684210526,98.79248072949805
,,631578.947368421,98.9913114471887
,,684210.5263157894,100.61574111822175
,,736842.1052631579,98.63840855254672
,,789473.6842105263,100.56066590329402
,,842105.2631578947,99.32774641286808
,,894736.8421052631,101.92439609752317
,,947368.4210526316,98.63674733329391
,,1000000.0,101.31439020209281
1,1,0.0,97.7532818422093
,,52631.57894736842,100.47742486523286
,,105263.15789473684,101.01143503107195
,,157894.73684210525,100.6325374921414
,,210526.31578947368,98.80061962976974
,,263157.8947368421,99.50212218511808
,,315789.4736842105,99.57450154012581
,,368421.05263157893,99.43627920882015
,,421052.63157894736,100.27299851695473
,,473684.2105263158,102.09820335308315
,,526315.7894736842,100.51660155843315
,,578947.3684210526,99.66367813402196
,,631578.947368421,99.26570236247825
,,684210.5263157894,101.31147982955183
,,736842.1052631579,101.5318273220852
,,789473.6842105263,99.70827601564635
,,842105.2631578947,99.33828061039029
,,894736.8421052631,100.40889910738717
,,947368.4210526316,98.86831782574117
,,1000000.0,100.77924938548958
1,2,0.0,99.89529416465271
,,61386525.474785216,89.61188381981937
,,122773050.94957043,79.90384928131778
,,184159576.42435566,73.60418052295513
,,245546101.89914086,64.34274877028788
,,306932627.3739261,57.8452965476352
,,368319152.8487113,50.12077016098751
,,429705678.3234965,46.33775191374995
,,491092203.7982817,41.22968122356852
,,552478729.273067,36.93615527439792
,,613865254.7478522,32.18707940327794
,,675251780.2226374,31.16833087671019
,,736638305.6974226,28.847891131042616
,,798024831.1722078,23.927503596640197
,,859411356.646993,21.556437532507648
,,920797882.1217782,19.972597294644657
,,982184407.5965635,16.62052848026343
,,1043570933.0713487,16.982107809255798
,,1104957458.546134,14.052471504986963
,,1166343984.020919,11.804702699193692
1,4,0.0,99.52679389075455
,,1.3591987539366015e-23,88.3951303858446
,,2.718397507873203e-23,79.82600340531373
,,4.0775962618098046e-23,71.51706572019096
,,5.436795015746406e-23,65.85105756210697
,,6.795993769683007e-23,58.723380660768484
,,8.155192523619609e-23,52.015083074983835
,,9.514391277556211e-23,46.94732344966536
,,1.0873590031492812e-22,41.70112663115621
,,1.2232788785429413e-22,36.67805950804346
,,1.3591987539366014e-22,34.104353798768386
,,1.4951186293302618e-22,29.56161703171427
,,1.6310385047239219e-22,26.035572498699757
,,1.766958380117582e-22,24.792432184876766
,,1.9028782555112423e-22,22.881562140605524
,,2.0387981309049024e-22,19.866159751840165
,,2.1747180062985625e-22,17.44423881504996
,,2.310637881692223e-22,15.710353910045686
,,2.4465577570858827e-22,14.785402988225226
,,2.582477632479543e-22,12.508080277375404
1,5,0.0,102.11664323398912
,,4.647582836041278e-23,89.98457880672902
,,9.295165672082556e-23,79.44327571964321
,,1.3942748508123833e-22,71.50949981356585
,,1.8590331344165113e-22,64.06789758740585
,,2.323791418020639e-22,57.22361317714015
,,2.7885497016247667e-22,53.187267777934345
,,3.2533079852288946e-22,46.50119465337353
,,3.7180662688330225e-22,41.55622563260781
,,4.1828245524371505e-22,36.534020220782644
,,4.647582836041278e-22,33.8723136460671
,,5.112341119645406e-22,28.90258599983396
,,5.577099403249533e-22,26.020328607892726
,,6.041857686853661e-22,24.339183297388608
,,6.506615970457789e-22,21.44852989195613
,,6.971374254061917e-22,18.40331007274797
,,7.436132537666045e-22,16.954283070876517
,,7.900890821270173e-22,16.84496495517967
,,8.365649104874301e-22,13.473412614402267
,,8.830407388478429e-22,11.218687900580578
1,6,0.0,100.30186974620264
,,8.004170439848874e-22,90.80125726845843
,,1.6008340879697748e-21,80.9398726064167
,,2.401251131954662e-21,71.76313554020727
,,3.2016681759395497e-21,65.39964004488905
,,4.002085219924437e-21,56.85678153135842
,,4.802502263909324e-21,51.187648471670485
,,5.602919307894212e-21,46.87664524208701
,,6.403336351879099e-21,42.343559099217046
,,7.203753395863986e-21,37.685783050897854
,,8.004170439848875e-21,34.13438372736897
,,8.804587483833761e-21,30.234627045019565
,,9.605004527818648e-21,27.646820201835496
,,1.0405421571803537e-20,25.90138030478456
,,1.1205838615788423e-20,23.800755540984888
,,1.2006255659773312e-20,21.254998207988116
,,1.2806672703758199e-20,16.943115635590605
,,1.3607089747743087e-20,17.076446355860927
,,1.4407506791727972e-20,14.153567889408095
,,1.520792383571286e-20,11.791566347019957
2,1,0.0,100.56474505322565
,,52631.57894736842,100.36992446685662
,,105263.15789473684,102.02628864518564
,,157894.73684210525,99.46341966256841
,,210526.31578947368,100.09713032302479
,,263157.8947368421,99.69128457452965
,,315789.4736842105,100.21734112540425
,,368421.05263157893,100.34903072917906
,,421052.63157894736,99.35448087419414
,,473684.2105263158,99.7930508961869
,,526315.7894736842,100.85222492084417
,,578947.3684210526,98.84956035848664
,,631578.947368421,100.44030367277122
,,684210.5263157894,100.39670371789197
,,736842.1052631579,100.50089051212743
,,789473.6842105263,99.11244780818625
,,842105.2631578947,99.98972369319397
,,894736.8421052631,99.4726648331193
,,947368.4210526316,98.8034634941371
,,1000000.0,100.24650807520271
2,2,0.0,99.8052160401959
,,52631.57894736842,97.38859477778341
,,105263.15789473684,99.43938874849086
,,157894.73684210525,100.28049546119956
,,210526.31578947368,100.84154314472453
,,263157.8947368421,100.4090721995191
,,315789.4736842105,98.34359782191005
,,368421.05263157893,99.34936958315227
,,421052.63157894736,100.4146488449263
,,473684.2105263158,101.56027992806125
,,526315.7894736842,99.78056352881566
,,578947.3684210526,100.2100791883376
,,631578.947368421,102.18176458658986
,,684210.5263157894,98.09809273268206
,,736842.1052631579,99.5235794264317
,,789473.6842105263,101.21412771995523
,,842105.2631578947,99.66381086260236
,,894736.8421052631,99.37797280169595
,,947368.4210526316,99.20008077811163
,,1000000.0,100.45670378759971
2,3,0.0,99.06371040138293
,,1.1116903388678985e-22,91.6311401945858
,,2.223380677735797e-22,80.30110547573054
,,3.3350710166036954e-22,71.83867779008982
,,4.446761355471594e-22,65.06396950564789
,,5.558451694339492e-22,57.30786605320141
,,6.670142033207391e-22,51.71747911951225
,,7.78183237207529e-22,46.71684792727183
,,8.893522710943188e-22,40.03036505580405
,,1.0005213049811086e-21,36.854262277412445
,,1.1116903388678984e-21,32.801325612814324
,,1.2228593727546883e-21,28.439098733980103
,,1.3340284066414781e-21,27.454930720124747
,,1.445197440528268e-21,24.546394651545903
,,1.556366474415058e-21,22.005575728303622
,,1.6675355083018477e-21,17.41822211437743
,,1.7787045421886375e-21,17.136039595234664
,,1.8898735760754273e-21,16.625277535572362
,,2.001042609962217e-21,12.5003288898327
,,2.112211643849007e-21,11.47609203559937
2,4,0.0,100.21162462735754
,,0.1273736842105263,90.47762150626004
,,0.2547473684210526,81.1570622856805
,,0.3821210526315789,72.77285825822315
,,0.5094947368421052,65.40567530506243
,,0.6368684210526315,56.83980168143047
,,0.7642421052631578,53.1040462124849
,,0.8916157894736841,47.5010191333622
,,1.0189894736842104,42.3940511071625
,,1.1463631578947369,36.642899890801694
,,1.273736842105263,32.202824764587355
,,1.4011105263157893,29.61921712415286
,,1.5284842105263157,29.85783792907113
,,1.655857894736842,23.57989916887112
,,1.7832315789473683,20.865836815855772
,,1.9106052631578945,18.15503106612978
,,2.037978947368421,18.795634133844036
,,2.1653526315789473,15.199480125542278
,,2.2927263157894737,15.141637321013127
,,2.4200999999999997,11.980614225047965
2,5,0.0,99.79877004696904
,,4.802502263909368e-22,89.0148434368428
,,9.605004527818735e-22,79.61747840140077
,,1.4407506791728103e-21,72.93117023336865
,,1.921000905563747e-21,63.42550413778786
,,2.401251131954684e-21,58.285191809409675
,,2.8815013583456206e-21,51.901868249715264
,,3.3617515847365574e-21,46.788577342153644
,,3.842001811127494e-21,42.74632697830412
,,4.322252037518431e-21,35.96338224629404
,,4.802502263909368e-21,33.16011452948427
,,5.2827524903003045e-21,30.283183887162142
,,5.763002716691241e-21,27.40292020306938
,,6.243252943082178e-21,22.729800102439317
,,6.723503169473115e-21,21.247977184671136
,,7.203753395864052e-21,19.66991841880035
,,7.684003622254988e-21,17.657327299567726
,,8.164253848645924e-21,16.306153590000925
,,8.644504075036862e-21,14.559012901820822
,,9.1247543014278e-21,14.717133516322786
2,6,0.0,100.50468485527209
,,0.018805263157894738,88.31505793864457
,,0.037610526315789476,80.18808217079206
,,0.05641578947368421,73.34232712650267
,,0.07522105263157895,64.26199236133922
,,0.0940263157894737,56.36064797875998
,,0.11283157894736842,53.922662824227494
,,0.13163684210526316,45.68698581526092
,,0.1504421052631579,41.326006978392904
,,0.16924736842105265,37.64810603815544
,,0.1880526315789474,34.774227769487595
,,0.20685789473684213,28.77896207253348
,,0.22566315789473684,26.81922273618464
,,0.24446842105263158,25.12671059679499
,,0.2632736842105263,20.866836645293418
,,0.2820789473684211,18.34816430535792
,,0.3008842105263158,16.27754275569921
,,0.3196894736842105,14.177811978150508
,,0.3384947368421053,15.760156714943836
,,0.3573,11.657419623083284
2,8,0.0,97.68292613302367
,,2.401251131954684e-22,89.36541604745629
,,4.802502263909368e-22,80.47388144017711
,,7.203753395864052e-22,71.9120230068492
,,9.605004527818735e-22,65.26489837344623
,,1.200625565977342e-21,56.05325987646413
,,1.4407506791728103e-21,51.43360710854434
,,1.6808757923682787e-21,46.37785329935383
,,1.921000905563747e-21,41.32199652177623
,,2.1611260187592155e-21,37.62724147662272
,,2.401251131954684e-21,33.44095574264247
,,2.6413762451501523e-21,30.388732075707896
,,2.8815013583456206e-21,27.60690713456157
,,3.121626471541089e-21,25.051393955723263
,,3.3617515847365574e-21,21.247348263874134
,,3.601876697932026e-21,17.893058767824158
,,3.842001811127494e-21,17.58775342063104
,,4.082126924322962e-21,16.47200335922872
,,4.322252037518431e-21,16.36285327480485
,,4.5623771507139e-21,12.83546919621817
3,2,0.0,99.58728316554222
,,5.856710077938205e-23,90.04145936750199
,,1.171342015587641e-22,78.75710503792914
,,1.7570130233814615e-22,70.48551497820952
,,2.342684031175282e-22,64.22942362334652
,,2.9283550389691025e-22,55.908685046455616
,,3.514026046762923e-22,52.484388970124975
,,4.0996970545567435e-22,46.42276510610329
,,4.685368062350564e-22,41.27596195532721
,,5.271039070144385e-22,38.51316261359527
,,5.856710077938205e-22,33.60839151682339
,,6.442381085732025e-22,29.640658645581404
,,7.028052093525846e-22,26.580116126991875
,,7.613723101319667e-22,24.165720813101604
,,8.199394109113487e-22,23.542429763969317
,,8.785065116907307e-22,20.2371199997253
,,9.370736124701128e-22,17.343683177649403
,,9.95640713249495e-22,17.416141048991474
,,1.054207814028877e-21,14.836994768786155
,,1.112774914808259e-21,13.787818540465695
3,3,0.0,100.52718755561803
,,52631.57894736842,99.04269467870475
,,105263.15789473684,100.38001230914072
,,157894.73684210525,99.6661273162019
,,210526.31578947368,98.78878161262377
,,263157.8947368421,99.77248437161403
,,315789.4736842105,99.38788482875334
,,368421.05263157893,98.96292875940726
,,421052.63157894736,99.78128210395228
,,473684.2105263158,100.42089501840194
,,526315.7894736842,99.6219617795439
,,578947.3684210526,101.06576258700544
,,631578.947368421,100.37674713690127
,,684210.5263157894,99.85505899185867
,,736842.1052631579,99.55241683709153
,,789473.6842105263,101.27509891164638
,,842105.2631578947,99.97035734773661
,,894736.8421052631,98.32603763028943
,,947368.4210526316,101.26473865466637
,,1000000.0,100.32436188964435
3,4,0.0,99.86627605207738
,,52631.57894736842,98.06023263042816
,,105263.15789473684,99.97097053113403
,,157894.73684210525,100.08934481809821
,,210526.31578947368,98.78519985580772
,,263157.8947368421,100.5658266769581
,,315789.4736842105,100.56176581379728
,,368421.05263157893,102.53776672077129
,,421052.63157894736,100.6848798158309
,,473684.2105263158,100.83626384860723
,,526315.7894736842,99.60649470392144
,,578947.3684210526,99.43488877845029
,,631578.947368421,100.24616676508694
,,684210.5263157894,100.44492161088637
,,736842.1052631579,100.83144624477751
,,789473.6842105263,100.24644553532826
,,842105.2631578947,100.27898697474987
,,894736.8421052631,100.3397638624098
,,947368.4210526316,98.23856040465421
,,1000000.0,100.52194144923635
3,5,0.0,98.44891501619256
,,0.13261578947368421,89.10910560536138
,,0.26523157894736843,77.1884623852871
